timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719902190934,2310,HTTP Request,200,OK,CollegeStudents 1-6,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,675,0,0
1719902190934,675,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-6,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,675,0,0
1719902191610,1634,HTTP Request-1,200,OK,CollegeStudents 1-6,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1604,0,0
1719902191645,1983,HTTP Request,200,OK,CollegeStudents 1-10,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,922,0,0
1719902191645,922,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-10,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,922,0,0
1719902192568,1060,HTTP Request-1,200,OK,CollegeStudents 1-10,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1021,0,0
1719902191235,2401,HTTP Request,200,OK,CollegeStudents 1-1,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,509,0,0
1719902191235,509,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-1,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,509,0,0
1719902191745,1891,HTTP Request-1,200,OK,CollegeStudents 1-1,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1846,0,0
1719902191774,2262,HTTP Request,200,OK,CollegeStudents 1-8,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,866,0,0
1719902191774,866,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-8,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,866,0,0
1719902192640,1396,HTTP Request-1,200,OK,CollegeStudents 1-8,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1378,0,0
1719902191814,2229,HTTP Request,200,OK,CollegeStudents 1-2,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,824,0,0
1719902191814,824,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-2,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,824,0,0
1719902192638,1405,HTTP Request-1,200,OK,CollegeStudents 1-2,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1382,0,0
1719902192059,2215,HTTP Request,200,OK,CollegeStudents 1-7,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,580,0,0
1719902192059,580,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-7,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,580,0,0
1719902192639,1635,HTTP Request-1,200,OK,CollegeStudents 1-7,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1595,0,0
1719902193007,1634,HTTP Request,200,OK,CollegeStudents 1-5,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,574,0,0
